Container,Image,CVE,NetDep,FunDep,Cost_Defender,Cost_Attacker,Risk
redis,redis:5.0-alpine3.10,CVE-2022-37434,5,3,3.9,6.1,47.2
redis,redis:5.0-alpine3.10,CVE-2020-1967,5,3,3.9,6.1,28.8
redis,redis:5.0-alpine3.10,CVE-2021-42378,5,3,1.2,8.8,47.2
redis,redis:5.0-alpine3.10,CVE-2021-42381,5,3,1.2,8.8,47.2
redis,redis:5.0-alpine3.10,CVE-2021-23841,5,3,1.8,7.8,28.8
redis,redis:5.0-alpine3.10,CVE-2021-3712,5,3,1.8,7.8,41.6
redis,redis:5.0-alpine3.10,CVE-2021-42382,5,3,1.2,8.8,47.2
redis,redis:5.0-alpine3.10,CVE-2022-0778,5,3,3.1,6.1,28.8
redis,redis:5.0-alpine3.10,CVE-2019-1551,5,3,3.1,6.1,11.2
redis,redis:5.0-alpine3.10,CVE-2022-2097,5,3,3.1,6.1,11.2
redis,redis:5.0-alpine3.10,CVE-2021-3449,5,3,1.8,7.8,28.8
redis,redis:5.0-alpine3.10,CVE-2021-30139,5,3,3.9,6.1,28.8
redis,redis:5.0-alpine3.10,CVE-2021-23839,5,3,1.8,7.8,11.2
redis,redis:5.0-alpine3.10,CVE-2021-3450,5,3,1.8,7.8,41.6
redis,redis:5.0-alpine3.10,CVE-2021-42385,5,3,1.2,8.8,47.2
redis,redis:5.0-alpine3.10,CVE-2021-42374,5,3,2.0,9.0,33.6
redis,redis:5.0-alpine3.10,CVE-2021-42380,5,3,1.2,8.8,47.2
redis,redis:5.0-alpine3.10,CVE-2021-42384,5,3,1.2,8.8,47.2
redis,redis:5.0-alpine3.10,CVE-2022-2068,5,3,3.1,6.1,47.2
redis,redis:5.0-alpine3.10,CVE-2020-1971,5,3,1.8,7.8,28.8
redis,redis:5.0-alpine3.10,CVE-2021-36159,5,3,3.9,6.1,41.6
redis,redis:5.0-alpine3.10,CVE-2021-23840,5,3,3.1,6.1,28.8
redis,redis:5.0-alpine3.10,CVE-2021-3711,5,3,3.1,6.1,47.2
redis,redis:5.0-alpine3.10,CVE-2022-1292,5,3,3.1,6.1,47.2
redis,redis:5.0-alpine3.10,CVE-2021-42379,5,3,1.2,8.8,47.2
redis,redis:5.0-alpine3.10,CVE-2021-42376,5,3,1.8,8.2,28.8
redis,redis:5.0-alpine3.10,CVE-2022-28391,5,3,3.0,7.2,47.2
redis,redis:5.0-alpine3.10,CVE-2018-25032,5,3,3.9,6.1,28.8
redis,redis:5.0-alpine3.10,CVE-2021-42386,5,3,1.2,8.8,47.2
redis,redis:5.0-alpine3.10,CVE-2020-28928,5,3,1.4,8.2,28.8
redis,redis:5.0-alpine3.10,CVE-2021-4160,5,3,1.8,7.8,28.8
redis,redis:5.0-alpine3.10,CVE-2021-28831,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2018-20482,5,3,1.6,9.0,28.8
db,postgres:9.4,CVE-2021-20193,5,3,1.4,8.2,28.8
db,postgres:9.4,CVE-2019-9704,5,3,1.4,8.2,28.8
db,postgres:9.4,CVE-2011-3389,5,3,6.9,1.4,23.2
db,postgres:9.4,CVE-2019-9947,5,3,3.0,7.2,21.6
db,postgres:9.4,CVE-2018-20346,5,3,2.6,7.8,47.2
db,postgres:9.4,CVE-2017-5969,5,3,1.0,9.0,28.8
db,postgres:9.4,CVE-2017-12132,5,3,1.8,7.8,28.8
db,postgres:9.4,CVE-2022-27377,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2019-1010022,5,3,4.9,6.1,47.2
db,postgres:9.4,CVE-2022-27455,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2009-5155,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2017-11164,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2021-45960,5,3,3.0,7.2,47.2
db,postgres:9.4,CVE-2017-18258,5,3,2.2,7.2,28.8
db,postgres:9.4,CVE-2020-7595,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2022-27457,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2020-27350,5,3,1.5,8.5,29.6
db,postgres:9.4,CVE-2007-5686,5,3,3.9,6.1,55.2
db,postgres:9.4,CVE-2022-24407,5,3,2.2,7.2,47.2
db,postgres:9.4,CVE-2022-27384,5,3,4.9,6.1,28.8
db,postgres:9.4,CVE-2017-8872,5,3,3.9,6.1,41.6
db,postgres:9.4,CVE-2020-36228,5,3,3.1,6.1,28.8
db,postgres:9.4,CVE-2020-28013,5,3,1.8,8.2,47.2
db,postgres:9.4,CVE-2019-9937,5,3,3.9,6.1,28.8
db,postgres:9.4,CVE-2019-3843,5,3,1.4,8.2,47.2
db,postgres:9.4,CVE-2010-0928,5,3,2.4,8.1,55.2
db,postgres:9.4,CVE-2022-31624,5,3,1.4,8.2,28.8
db,postgres:9.4,CVE-2020-3810,5,3,2.2,8.2,28.8
db,postgres:9.4,CVE-2020-28024,5,3,3.9,6.1,47.2
db,postgres:9.4,CVE-2019-9706,5,3,2.2,8.2,28.8
db,postgres:9.4,CVE-2021-23336,5,3,2.1,8.4,33.6
db,postgres:9.4,CVE-2017-1000082,5,3,3.1,6.1,47.2
db,postgres:9.4,CVE-2021-36084,5,3,2.2,8.2,11.2
db,postgres:9.4,CVE-2022-25310,5,3,2.2,8.2,28.8
db,postgres:9.4,CVE-2021-20305,5,3,1.8,7.8,47.2
db,postgres:9.4,CVE-2022-22827,5,3,2.8,7.2,47.2
db,postgres:9.4,CVE-2021-3999,5,3,2.8,8.2,47.2
db,postgres:9.4,CVE-2022-27376,5,3,4.9,6.1,28.8
