CVE-ID,CVSS,CWE-ID,Exploits,Patchs,CVSS  Metrics,ESC,ISC
CVE-2004-0971,"['2.0', 'AV:L/AC:L/Au:N/C:N/I:P/A:N']",['NVD-CWE-Other'],[],"[['Vendor Advisory', 'http://www.gentoo.org/security/en/glsa/glsa-200410-24.xml'], ['Vendor Advisory', 'http://www.securityfocus.com/bid/11289']]","{'version': '2.0', 'vectorString': 'AV:L/AC:L/Au:N/C:N/I:P/A:N', 'accessVector': 'LOCAL', 'accessComplexity': 'LOW', 'authentication': 'NONE', 'confidentialityImpact': 'NONE', 'integrityImpact': 'PARTIAL', 'availabilityImpact': 'NONE', 'baseScore': 2.1}",3.9,2.9
CVE-2005-2541,"['2.0', 'AV:N/AC:L/Au:N/C:C/I:C/A:C']",['NVD-CWE-Other'],[],[],"{'version': '2.0', 'vectorString': 'AV:N/AC:L/Au:N/C:C/I:C/A:C', 'accessVector': 'NETWORK', 'accessComplexity': 'LOW', 'authentication': 'NONE', 'confidentialityImpact': 'COMPLETE', 'integrityImpact': 'COMPLETE', 'availabilityImpact': 'COMPLETE', 'baseScore': 10.0}",10.0,10.0
CVE-2007-5686,"['2.0', 'AV:L/AC:L/Au:N/C:C/I:N/A:N']",['CWE-264'],[],[],"{'version': '2.0', 'vectorString': 'AV:L/AC:L/Au:N/C:C/I:N/A:N', 'accessVector': 'LOCAL', 'accessComplexity': 'LOW', 'authentication': 'NONE', 'confidentialityImpact': 'COMPLETE', 'integrityImpact': 'NONE', 'availabilityImpact': 'NONE', 'baseScore': 4.9}",3.9,6.9
CVE-2007-6755,"['2.0', 'AV:N/AC:M/Au:N/C:P/I:P/A:N']",['CWE-327'],[],[],"{'version': '2.0', 'vectorString': 'AV:N/AC:M/Au:N/C:P/I:P/A:N', 'accessVector': 'NETWORK', 'accessComplexity': 'MEDIUM', 'authentication': 'NONE', 'confidentialityImpact': 'PARTIAL', 'integrityImpact': 'PARTIAL', 'availabilityImpact': 'NONE', 'baseScore': 5.8}",8.6,4.9
CVE-2009-5155,"['3.0', 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H']",['CWE-19'],"[['Vendor Advisory', 'https://debbugs.gnu.org/cgi/bugreport.cgi?bug=32806'], ['Vendor Advisory', 'https://debbugs.gnu.org/cgi/bugreport.cgi?bug=34238'], ['Third Party Advisory', 'https://sourceware.org/bugzilla/show_bug.cgi?id=11053'], ['Third Party Advisory', 'https://sourceware.org/bugzilla/show_bug.cgi?id=18986']]","[['Vendor Advisory', 'http://git.savannah.gnu.org/cgit/gnulib.git/commit/?id=5513b40999149090987a0341c018d05d3eea1272'], ['Third Party Advisory', 'https://security.netapp.com/advisory/ntap-20190315-0002/'], ['Third Party Advisory', 'https://sourceware.org/git/gitweb.cgi?p=glibc.git;h=eb04c21373e2a2885f3d52ff192b0499afe3c672']]","{'version': '3.0', 'vectorString': 'CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H', 'attackVector': 'NETWORK', 'attackComplexity': 'LOW', 'privilegesRequired': 'NONE', 'userInteraction': 'NONE', 'scope': 'UNCHANGED', 'confidentialityImpact': 'NONE', 'integrityImpact': 'NONE', 'availabilityImpact': 'HIGH', 'baseScore': 7.5, 'baseSeverity': 'HIGH'}",3.9,3.6
CVE-2010-0928,"['2.0', 'AV:L/AC:H/Au:N/C:C/I:N/A:N']",['CWE-310'],"[['Unknown', 'http://www.eecs.umich.edu/%7Evaleria/research/publications/DATE10RSA.pdf']]",[],"{'version': '2.0', 'vectorString': 'AV:L/AC:H/Au:N/C:C/I:N/A:N', 'accessVector': 'LOCAL', 'accessComplexity': 'HIGH', 'authentication': 'NONE', 'confidentialityImpact': 'COMPLETE', 'integrityImpact': 'NONE', 'availabilityImpact': 'NONE', 'baseScore': 4.0}",1.9,6.9
CVE-2010-4756,"['2.0', 'AV:N/AC:L/Au:S/C:N/I:N/A:P']",['CWE-399'],"[['Unknown', 'http://cxib.net/stuff/glob-0day.c'], ['Unknown', 'http://securityreason.com/achievement_securityalert/89'], ['Unknown', 'http://securityreason.com/exploitalert/9223']]",[],"{'version': '2.0', 'vectorString': 'AV:N/AC:L/Au:S/C:N/I:N/A:P', 'accessVector': 'NETWORK', 'accessComplexity': 'LOW', 'authentication': 'SINGLE', 'confidentialityImpact': 'NONE', 'integrityImpact': 'NONE', 'availabilityImpact': 'PARTIAL', 'baseScore': 4.0}",8.0,2.9
CVE-2011-3374,"['3.1', 'CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N']",['CWE-347'],"[['Third Party Advisory', 'https://seclists.org/fulldisclosure/2011/Sep/221']]",[],"{'version': '3.1', 'vectorString': 'CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N', 'attackVector': 'NETWORK', 'attackComplexity': 'HIGH', 'privilegesRequired': 'NONE', 'userInteraction': 'NONE', 'scope': 'UNCHANGED', 'confidentialityImpact': 'NONE', 'integrityImpact': 'LOW', 'availabilityImpact': 'NONE', 'baseScore': 3.7, 'baseSeverity': 'LOW'}",2.2,1.4
CVE-2011-3389,"['2.0', 'AV:N/AC:M/Au:N/C:P/I:N/A:N']",['CWE-326'],[],"[['Vendor Advisory', 'http://technet.microsoft.com/security/advisory/2588513'], ['Unknown', 'http://www.insecure.cl/Beast-SSL.rar'], ['Vendor Advisory', 'https://docs.microsoft.com/en-us/security-updates/securitybulletins/2012/ms12-006']]","{'version': '2.0', 'vectorString': 'AV:N/AC:M/Au:N/C:P/I:N/A:N', 'accessVector': 'NETWORK', 'accessComplexity': 'MEDIUM', 'authentication': 'NONE', 'confidentialityImpact': 'PARTIAL', 'integrityImpact': 'NONE', 'availabilityImpact': 'NONE', 'baseScore': 4.3}",8.6,2.9
CVE-2011-4116,"['3.1', 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N']",['CWE-59'],"[['Third Party Advisory', 'https://github.com/Perl-Toolchain-Gang/File-Temp/issues/14']]","[['Vendor Advisory', 'https://rt.cpan.org/Public/Bug/Display.html?id=69106']]","{'version': '3.1', 'vectorString': 'CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N', 'attackVector': 'NETWORK', 'attackComplexity': 'LOW', 'privilegesRequired': 'NONE', 'userInteraction': 'NONE', 'scope': 'UNCHANGED', 'confidentialityImpact': 'NONE', 'integrityImpact': 'HIGH', 'availabilityImpact': 'NONE', 'baseScore': 7.5, 'baseSeverity': 'HIGH'}",3.9,3.6
