"Package","Version Installed","VulnerabilityID","Severity"
"krb5-locales","1.15-1+deb9u1","CVE-2004-0971","Negligible"
"libgssapi-krb5-2","1.15-1+deb9u1","CVE-2004-0971","Negligible"
"libk5crypto3","1.15-1+deb9u1","CVE-2004-0971","Negligible"
"libkrb5-3","1.15-1+deb9u1","CVE-2004-0971","Negligible"
"libkrb5support0","1.15-1+deb9u1","CVE-2004-0971","Negligible"
"tar","1.29b-1.1","CVE-2005-2541","Negligible"
"login","1:4.4-4.1","CVE-2007-5686","Negligible"
"passwd","1:4.4-4.1","CVE-2007-5686","Negligible"
"libssl1.1","1.1.0l-1~deb9u1","CVE-2007-6755","Negligible"
"openssl","1.1.0l-1~deb9u1","CVE-2007-6755","Negligible"
"libc-bin","2.24-11+deb9u4","CVE-2009-5155","High"
"libc-l10n","2.24-11+deb9u4","CVE-2009-5155","High"
"libc6","2.24-11+deb9u4","CVE-2009-5155","High"
"locales","2.24-11+deb9u4","CVE-2009-5155","High"
"multiarch-support","2.24-11+deb9u4","CVE-2009-5155","High"
"libssl1.1","1.1.0l-1~deb9u1","CVE-2010-0928","Negligible"
"openssl","1.1.0l-1~deb9u1","CVE-2010-0928","Negligible"
"libc-bin","2.24-11+deb9u4","CVE-2010-4756","Negligible"
"libc-l10n","2.24-11+deb9u4","CVE-2010-4756","Negligible"
"libc6","2.24-11+deb9u4","CVE-2010-4756","Negligible"
"locales","2.24-11+deb9u4","CVE-2010-4756","Negligible"
"multiarch-support","2.24-11+deb9u4","CVE-2010-4756","Negligible"
"apt","1.4.9","CVE-2011-3374","Negligible"
"libapt-pkg5.0","1.4.9","CVE-2011-3374","Negligible"
"libgnutls30","3.5.8-5+deb9u4","CVE-2011-3389","Medium"
"libperl5.24","5.24.1-3+deb9u6","CVE-2011-4116","Negligible"
"perl","5.24.1-3+deb9u6","CVE-2011-4116","Negligible"
"perl-base","5.24.1-3+deb9u6","CVE-2011-4116","Negligible"
"perl-modules-5.24","5.24.1-3+deb9u6","CVE-2011-4116","Negligible"
"libexpat1","2.2.0-2+deb9u3","CVE-2013-0340","Negligible"
"login","1:4.4-4.1","CVE-2013-4235","Negligible"
"passwd","1:4.4-4.1","CVE-2013-4235","Negligible"
"libsystemd0","232-25+deb9u12","CVE-2013-4392","Negligible"
"libudev1","232-25+deb9u12","CVE-2013-4392","Negligible"
"libpython2.7","2.7.13-2+deb9u3","CVE-2013-7040","Negligible"
"libpython2.7-minimal","2.7.13-2+deb9u3","CVE-2013-7040","Negligible"
"libpython2.7-stdlib","2.7.13-2+deb9u3","CVE-2013-7040","Negligible"
"libpython2.7","2.7.13-2+deb9u3","CVE-2015-20107","Critical"
"libpython2.7-minimal","2.7.13-2+deb9u3","CVE-2015-20107","Critical"
"libpython2.7-stdlib","2.7.13-2+deb9u3","CVE-2015-20107","Critical"
